drugbank_id,smiles
DB00114,Cc1ncc(c(C=O)c1[O-])COP([O-])([O-])=O
DB00114,Cc1ncc(COP([O-])([O-])=O)c(C=O)c1O
DB00114,Cc1[nH+]cc(c(C=O)c1[O-])COP([O-])(=O)O
DB00118,[O-]C(=O)[C@@H]([NH3+])CC[S+](C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n(cn2)c(c23)ncnc3N
DB00118,[O-]C(=O)[C@@H](N)CC[S+](C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n(cn2)c(c23)ncnc3N
DB00119,CC(=O)C([O-])=O
DB00120,[O-]C(=O)[C@@H]([NH3+])Cc1ccccc1
DB00120,[O-]C(=O)[C@@H](N)Cc1ccccc1
DB00121,O=C(N1)N[C@@H]([C@@H]12)[C@@H](SC2)CCCCC([O-])=O
DB00122,C[N+](C)(C)CCO
DB00123,[NH3+]CCCC[C@H]([NH3+])C([O-])=O
DB00126,OC[C@H](O)[C@H]1OC([O-])=C(O)C1=O
DB00128,[O-]C(=O)[C@@H]([NH3+])CC([O-])=O
DB00128,[O-]C(=O)[C@@H](N)CC([O-])=O
DB00129,[NH3+]CCC[C@H]([NH3+])C([O-])=O
DB00130,[O-]C(=O)[C@@H]([NH3+])CCC(=O)N
DB00130,[O-]C(=O)[C@@H](N)CCC(=O)N
DB00131,Nc1ncnc(c12)n(cn2)[C@@H]3O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]3O
DB00131,Nc1ncnc(c12)n(cn2)[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)COP([O-])(=O)O
DB00132,CC/C=C\C/C=C\C/C=C\CCCCCCCC([O-])=O
DB00134,CSCC[C@H]([NH3+])C([O-])=O
DB00135,[O-]C(=O)[C@@H]([NH3+])Cc1ccc(O)cc1
DB00135,[O-]C(=O)[C@@H](N)Cc1ccc(O)cc1
DB00136,CC(C)(O)CCC[C@@H](C)[C@H]1CC[C@H]([C@@]12C)/C(CCC2)=C/C=C3/C[C@@H](O)C[C@H](O)C3=C
DB00137,O[C@H](C1)C=C(C)[C@@H](C1(C)C)\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C(C2(C)C)=C(C)C[C@@H](O)C2
DB00138,[O-]C(=O)[C@@H]([NH3+])CSSC[C@H]([NH3+])C([O-])=O
DB00138,[O-]C(=O)[C@@H]([NH3+])CSSC[C@H](N)C([O-])=O
DB00139,[O-]C(=O)CCC([O-])=O
DB00140,Cc(c1)c(C)cc(c12)nc3c(nc(=O)[nH]c3=O)n2C[C@H](O)[C@H](O)[C@H](O)CO
DB00141,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00142,[O-]C(=O)[C@@H]([NH3+])CCC([O-])=O
DB00143,[O-]C(=O)[C@@H]([NH3+])CCC(=O)N[C@@H](CS)C(=O)NCC([O-])=O
DB00143,[O-]C(=O)[C@@H]([NH3+])CCC(=O)N[C@@H](C[S-])C(=O)NCC([O-])=O
DB00145,[NH3+]CC([O-])=O
DB00146,CC(C)(O)CCC[C@@H](C)[C@H]1CC[C@H]([C@@]12C)/C(CCC2)=C/C=C3/C[C@@H](O)CCC3=C
DB00148,NC(=[NH2+])N(C)CC([O-])=O
DB00150,[O-]C(=O)[C@@H]([NH3+])Cc(c[nH]1)c(c12)cccc2
DB00150,[O-]C(=O)[C@@H](N)Cc(c[nH]1)c(c12)cccc2
DB00151,[O-]C(=O)[C@@H]([NH3+])CS
DB00151,[O-]C(=O)[C@@H]([NH3+])C[S-]
DB00152,OCCc(c1C)sc[n+]1Cc2cnc(C)nc2N
DB00152,OCCc(c1C)sc[n+]1Cc2c[nH+]c(C)nc2N
DB00153,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]([C@@]12C)/C(CCC2)=C/C=C3/C[C@@H](O)CCC3=C
DB00156,C[C@@H](O)[C@H]([NH3+])C([O-])=O
DB00157,NC(=O)C1=CN(C=CC1)[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)COP([O-])(=O)OP([O-])(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n(cn4)c(c45)ncnc5N
DB00158,O=c1[nH+]c(N)[nH]c(c12)ncc(n2)CNc3ccc(cc3)C(=O)N[C@H](C([O-])=O)CCC([O-])=O
DB00158,O=c1[nH]c(N)nc(c12)ncc(n2)CNc3ccc(cc3)C(=O)N[C@H](C([O-])=O)CCC([O-])=O
DB00158,O=c1[nH]c(N)nc(c12)[nH+]cc(n2)CNc3ccc(cc3)C(=O)N[C@H](C([O-])=O)CCC([O-])=O
DB00158,O=c1nc(N)[nH]c(c12)ncc(n2)CNc3ccc(cc3)C(=O)N[C@H](C([O-])=O)CCC([O-])=O
DB00159,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC([O-])=O
DB00161,CC(C)[C@H]([NH3+])C([O-])=O
DB00162,OC/C=C(\C)/C=C/C=C(\C)/C=C/C(C1(C)C)=C(C)CCC1
DB00163,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@](C)(CC1)Oc(c12)c(C)c(C)c(O)c2C
DB00165,Cc1c([O-])c(CO)c(CO)c[nH+]1
DB00165,Cc1c(O)c(CO)c(cn1)CO
DB00165,Cc1c([O-])c(CO)c(cn1)CO
DB00166,[O-]C(=O)CCCC[C@@H]1CCSS1
DB00169,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]([C@@]12C)/C(CCC2)=C/C=C3/C[C@@H](O)CCC3=C
DB00170,O=C1C=C(C)C(=O)c(c12)cccc2
DB00173,Nc1ncnc(c12)[nH]cn2
DB00173,Nc1ncnc(c12)nc[nH]2
DB00174,[O-]C(=O)[C@@H]([NH3+])CC(=O)N
DB00174,[O-]C(=O)[C@@H](N)CC(=O)N
DB00175,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C([C@H]12)C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC([O-])=O
DB00176,COCCCC/C(=N\OCC[NH3+])c1ccc(C(F)(F)F)cc1
DB00176,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
DB00177,CCCCC(=O)N([C@H](C([O-])=O)C(C)C)Cc1ccc(cc1)-c2ccccc2-c3nnn[n-]3
DB00178,C1CC[C@@H]([C@@H]12)N([C@@H](C2)C([O-])=O)C(=O)[C@H](C)N[C@H](C(=O)OCC)CCc3ccccc3
DB00178,C1CC[C@@H]([C@@H]12)N([C@@H](C2)C([O-])=O)C(=O)[C@H](C)[NH2+][C@H](C(=O)OCC)CCc3ccccc3
DB00179,c1cc(O)c(O)cc1C[C@H](C)[C@H](C)Cc2cc(O)c(O)cc2
DB00180,O1C(C)(C)O[C@H](C2)[C@]1(C(=O)CO)[C@@](C)(C[C@@H]([C@@H]34)O)[C@@H]2[C@@H]3C[C@H](F)C([C@@]45C)=CC(=O)C=C5
DB00181,[O-]C(=O)C[C@@H](C[NH3+])c1ccc(Cl)cc1
DB00181,[O-]C(=O)C[C@H](C[NH3+])c1ccc(Cl)cc1
DB00182,C[C@@H]([NH3+])Cc1ccccc1
DB00182,C[C@H]([NH3+])Cc1ccccc1
DB00183,CC(C)(C)OC(=O)NCCC(=O)N[C@@H](Cc(c[nH]1)c(c12)cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC([O-])=O)C(=O)N[C@H](C(=O)N)Cc3ccccc3
DB00184,C[N@@H+]1CCC[C@H]1c2cnccc2
DB00184,C[N@H+]1CCC[C@H]1c2cnccc2
DB00184,CN1CCC[C@H]1c2cnccc2
DB00185,C1S[C@H](C)O[C@@]12[C@@H]3CC[N@H+](C2)CC3
DB00185,C1S[C@@H](C)O[C@@]12[C@H]3CC[N@@H+](C2)CC3
DB00185,C1S[C@H](C)O[C@@]12C3CCN(C2)CC3
DB00185,C1S[C@@H](C)O[C@@]12C3CCN(C2)CC3
DB00186,Clc(c1)ccc(c12)NC(=O)[C@@H](O)N=C2c3ccccc3Cl
DB00186,Clc(c1)ccc(c12)NC(=O)[C@H](O)N=C2c3ccccc3Cl
DB00187,COC(=O)CCc1ccc(cc1)OC[C@H](O)C[NH2+]C(C)C
DB00187,COC(=O)CCc1ccc(cc1)OC[C@@H](O)C[NH2+]C(C)C
DB00187,COC(=O)CCc1ccc(cc1)OC[C@H](O)CNC(C)C
DB00187,COC(=O)CCc1ccc(cc1)OC[C@@H](O)CNC(C)C
DB00188,c1ccccc1C[C@@H](C(=O)N[C@H](B(O)O)CC(C)C)NC(=O)c2cnccn2
DB00189,CC[C@@](O)(/C=C/Cl)C#C
DB00189,CC[C@](O)(/C=C/Cl)C#C
DB00190,N[NH2+][C@](C)(C([O-])=O)Cc1cc(O)c(O)cc1
DB00190,N[NH2+][C@](C)(C([O-])=O)Cc1cc([O-])c(O)cc1
DB00191,CC(C)([NH3+])Cc1ccccc1
DB00192,CC(C)[NH2+]CCCC1(C(=O)N)c(cccc2)c2c(c13)cccc3
DB00193,COc1cccc(c1)[C@@]2(O)CCCC[C@@H]2C[NH+](C)C
DB00193,COc1cccc(c1)[C@]2(O)CCCC[C@@H]2C[NH+](C)C
DB00193,COc1cccc(c1)[C@@]2(O)CCCC[C@H]2C[NH+](C)C
DB00193,COc1cccc(c1)[C@]2(O)CCCC[C@H]2C[NH+](C)C
DB00193,COc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C)C
DB00193,COc1cccc(c1)[C@]2(O)CCCC[C@@H]2CN(C)C
DB00193,COc1cccc(c1)[C@@]2(O)CCCC[C@H]2CN(C)C
DB00193,COc1cccc(c1)[C@]2(O)CCCC[C@H]2CN(C)C
DB00194,n1cnc(N)c(c12)ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O
DB00195,CC(C)[NH2+]C[C@@H](O)COc1ccc(cc1)CCOCC2CC2
DB00195,CC(C)[NH2+]C[C@H](O)COc1ccc(cc1)CCOCC2CC2
DB00195,CC(C)NC[C@@H](O)COc1ccc(cc1)CCOCC2CC2
DB00195,CC(C)NC[C@H](O)COc1ccc(cc1)CCOCC2CC2
DB00196,n1cncn1CC(O)(Cn2cncn2)c3c(F)cc(F)cc3
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@](O2)(C)COc3ccc(cc3)C[C@H]4SC([O-])=NC4=O
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@@](O2)(C)COc3ccc(cc3)C[C@H]4SC([O-])=NC4=O
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@](O2)(C)COc3ccc(cc3)C[C@@H]4SC([O-])=NC4=O
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@@](O2)(C)COc3ccc(cc3)C[C@@H]4SC([O-])=NC4=O
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@](O2)(C)COc3ccc(cc3)C[C@H]4SC(=O)NC4=O
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@@](O2)(C)COc3ccc(cc3)C[C@H]4SC(=O)NC4=O
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@](O2)(C)COc3ccc(cc3)C[C@@H]4SC(=O)NC4=O
DB00197,Cc1c(C)c(O)c(C)c(c12)CC[C@@](O2)(C)COc3ccc(cc3)C[C@@H]4SC(=O)NC4=O
DB00198,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H]([C@@H]([NH3+])C1)NC(=O)C
DB00198,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H]([C@@H](N)C1)NC(=O)C
DB00199,C1[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)[C@H](C)[C@H]([C@]1(C)O)O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)[NH+](C)C
DB00199,C1[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)[C@H](C)[C@H]([C@]1(C)O)O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C
DB00201,n1cn(C)c(c12)c(=O)n(C)c(=O)n2C
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,CCCc(nn1C)c(c12)nc([nH]c2=O)-c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
